decile,target_value_spread_fwd_1m,date
5,0.006577907780975995,2014-11-01
6,0.010917744077537369,2014-11-01
7,0.017354115745304023,2014-11-01
8,0.007719479656994195,2014-11-01
9,-0.0038624795880994865,2014-11-01
10,-0.011747377787039794,2014-11-01
1,0.01105289213248747,2014-12-01
2,-0.01213153563859173,2014-12-01
3,-0.006792149998996753,2014-12-01
4,-0.004879697201278386,2014-12-01
5,1.7785919790122305e-05,2014-12-01
6,0.00528293417815141,2014-12-01
7,0.0017265655992470413,2014-12-01
8,0.017872549852463067,2014-12-01
9,0.012086806157301788,2014-12-01
10,0.019132893750960653,2014-12-01
1,-0.007939054893893396,2015-01-01
2,-0.0051281928792281765,2015-01-01
3,-0.01200401857649952,2015-01-01
4,-0.0015968249988863215,2015-01-01
5,0.00010603941884310178,2015-01-01
6,0.008443379907174565,2015-01-01
7,0.012645955952935148,2015-01-01
8,0.009248521786052339,2015-01-01
9,0.02296402224253149,2015-01-01
10,0.030021380921178783,2015-01-01
1,-0.02019630574084897,2015-02-01
2,-0.004297663926376018,2015-02-01
3,-0.006177223694144741,2015-02-01
4,-7.799956764547906e-06,2015-02-01
5,0.0035338440019802605,2015-02-01
6,0.008544885858854,2015-02-01
7,0.009387611336847273,2015-02-01
8,0.014361353908602187,2015-02-01
9,0.004216362360944729,2015-02-01
10,-0.002884145960079509,2015-02-01
1,0.03419507997637467,2015-03-01
2,0.028347385181661522,2015-03-01
3,0.009409972096490521,2015-03-01
4,0.012256575513096788,2015-03-01
5,-0.007919607418369588,2015-03-01
6,0.008302036128086858,2015-03-01
7,0.008333302915794538,2015-03-01
8,0.002379959186829086,2015-03-01
9,0.001646977066577684,2015-03-01
10,-0.007953327093719471,2015-03-01
1,-0.014094465828860364,2015-04-01
